Institute,code,level,learning_outcomes
WinTec,BIZM701,7," Analyse the principal elements of management in a business environment focussing on the contexts within which IT plays a part  Analyse the principal elements of marketing in a business environment focussing on the contexts within which IT plays a part  Analyse the principal elements of economics in a business environment focussing on the contexts within which IT plays a part  Analyse the principal elements of accounting in a business environment focussing on the contexts within which IT plays a part    "
WinTec,COMP501,5," Configure Windows operating system on a PC  Explain computer operating systems, configuration, security and software  Dissassemble and reassemble a PC to working order with an operating system and network services  Explain computer hardware, virtualisation, cloud computing and troubleshooting  "
WinTec,COMP502,5," Apply programming concepts and tools   Differentiate between procedural and object oriented programming  Apply the Principles of Implementation to the development of simple applications  Use problem-solving and decision making techniques which include logic and mathematical concepts, problem solving methods, critical thinking, abstract reasoning, and systems.    "
WinTec,COMP503,5," Apply knowledge of networking, including reference models, addressing, cabling, wireless, protocols, topologies, security, industry networking standards, LAN and WAN devices  Apply knowledge of network services including DNS, ARP, application layer protocols, printing, and authentication.   "
WinTec,COMP504,5," Recognise common computer architecture from personal to enterprise Use graphical (GUI) and command line interfaces (CLI) Demonstrate an understanding of operating system internals, and the relationship between hardware and operating system Select, install and configure general purpose and specialist operating systems in current use, both proprietary and open source   "
WinTec,COMP601,6," Write and demonstrate programs that solve problems using arrays, input, output, methods, classes, objects, abstract classes, static classes, derived classes and polymorphism  Demonstrate effective use of object oriented concepts  Demonstrate effective use of integrated development environment features  "
WinTec,COMP602,6," Demonstrate an understanding of the principles, planning, design and application of a website  Examine and apply web development programming languages in the development of a website  Create and apply multimedia solutions in website development  Examine current web practices used in industry and apply this to the development of a website  "
WinTec,COMP604,6," Demonstrate an understanding of the operation and features of network devices required for setup and maintenance of a local area network.    Configure and troubleshoot switches and routers to support a scalable and secure LAN (Local Area Network) for a small to medium network.    Design, build, troubleshoot, and document a secure network solution using advanced LAN technologies .       "
WinTec,COMP605,6," Analyse and implement arrays, lists, binary search trees, balanced trees and hash table  Write and analyse common algorithms including sorting and searching  Apply data structures and algorithms to software applications   "
WinTec,COMP616,6," Examine and configure web practices used in industry   Create web programming front-end solutions  Examine and apply web testing techniques to a web solution  Investigate and implement a digital marketing solution for a web application    "
WinTec,COMP701,7," Demonstrate an understanding of Network virtualisation, advanced system and administration and Mobile Wireless Technologies.  Investigate, implement, configure and troubleshoot advanced systems administration and network virtualisation technologies.  Research and critically analyse new networking technologies   "
WinTec,COMP702,7," Demonstrate an understanding of Wide Area Network technologies and secure network design principles through software-defined networking, virtualisation, and automation concepts which support digitalisation of large networks.  Configure and troubleshoot large scale networks using network management tools including controller-based architecture and application programming interface enabled network automation tools.   Analyse, design, build, troubleshoot and document a network solution using secure network design principles for a large organisation.   "
WinTec,COMP703,7," Investigate and design an inter-network to specific client requirements  Implement, configure and troubleshoot an inter-network to specific client requirements    "
WinTec,COMP704,7,"Analyse and demonstrate an in-depth understanding of network security, within the context of data communications, systems, networks, and the associated technologies.      Configure, secure and troubleshoot network technologies and data communications, and justify the implementations.   "
WinTec,COMP705,7," Demonstrate an understanding of WAN technologies, point-to-point connections, branch connections, remote access technologies, access control lists, network security, network monitoring, quality of service, IoT, cloud infrastructure and network troubleshooting techniques  Evaluate and compare different WAN technologies  Configure and troubleshoot point-to-point protocols, VPNS, eBGP, access control lists, SNMP and Cisco Switch Port Analyser   "
WinTec,COMP706,7," Explore the theories and principles as applied to game design, development and programming  Design and develop a game using applied industry practice  Implement a computer game using industry-standard practices  Deploy games for the real-time gaming environment  "
WinTec,COMP707,7," Apply software testing methodologies  Discuss, examine and apply testing techniques, testing levels and testing types  Use  software testing tools currently used in the IT industry  "
WinTec,COMP708,7," Produce a comprehensive design to develop a software solution and to provide comprehensive performance and scalability analysis  Apply prototyping to validate an approach or a design point and to investigate trade off analysis: features, performance, quality and maintenance, version control  and the cost of development  Produce appropriate internal and external documentation  Effectively use open source code   "
WinTec,COMP709,7," Investigate concepts in mobile applications development  Understand the mobile applications development process and apply it to a given platform  Implement a mobile application using industry-based standards and software for the given platform  Use application language features in the given platform   "
WinTec,COMP710,7," Investigate the principles, components and application of the MVC software architecture  Examine and apply MVC software architecture in the development of a web application   Examine current practices used in industry and apply this to Web Applications Development  Examine and develop MVC implementation components in the development of a web application   "
WinTec,COMP711,7," Investigate a range of current web application frameworks/libraries.  Interact with stakeholders and analyse requirements to determine client needs.  Design, develop, and implement a web application using current tools & techniques.  Test the web application against requirements using a range of testing methods.   "
WinTec,INFO501,5," Demonstrate an understanding of and apply professional, sustainable, socially responsible and ethical principles; accessibility and equity principles; and ethical work practice  Demonstrate an understanding of privacy and security responsibilities, relevant legislation, industry codes of practices, and codes of conduct  Explain the application of the Treaty of Waitangi in the context of information technology organisational requirements  Conduct oral and visual presentations, and apply research literacy, referencing, information design skills, report and technical writing skills  Demonstrate personal and interpersonal skills, including self-management, teamwork, customer-service, relationship management, social and multicultural awareness   "
WinTec,INFO502,5," Demonstrate an understanding of business concepts including the function and structure of IT organisations and its impact on business  Understand the phases of business system analysis and design and apply them to a business context  Apply basic principles of interaction design and human computer interaction (including accessibility) employing current and emerging technologies for a better User Experience (UX)  Demonstrate an understanding of development methodologies and appreciate their employment in the development of an information system   Introduction to the process of testing and handoff of projects  "
WinTec,INFO503,5," Apply the use of Query languages  Utilise database management system (DBMS) optimisation, security and backups  Apply conceptual knowledge of cloud services and virtualisation.  "
WinTec,INFO504,5," Demonstrate an understanding of the principles of service management frameworks and professional practice.  Follow standard procedures when providing IT services and focus on the delivery of best services to the end user  Identify human behaviour that affects IT security and evaluate mitigation techniques and policies.  Demonstrate knowledge of auditing, logging, authentication, and authorisation  Troubleshoot and resolve a range of common system and user problems using appropriate tools and procedures.  "
WinTec,INFO601,6," Apply database design concepts  Apply data modelling techniques   Apply Structured Query Language (SQL) techniques  "
WinTec,INFO602,6," Discuss and examine interpersonal communication theory and skills in an information technology environment  Plan, investigate and present information in writing using standard business and technical writing principles appropriate for an information technology environment   Demonstrate effective business presentation skills including planning, researching and teamwork  Analyse and apply communication protocols to effectively manage client relationships  "
WinTec,INFO603,6," Demonstrate an understanding of Windows Server versions, Active Directory, account management, resource access, data storage, printing, remote access services, Windows Server security and network services.  Configure  the Windows Server environment, Active Directory account management, Resource access, printing, data storage, remote access services and windows server security.  Manage and troubleshoot network services, resource access and system reliability/availability.    "
WinTec,INFO604,6," Analyse database management techniques and database concepts  Apply the fundamentals of basic database administration tasks  Create and administer an operational database application  "
WinTec,INFO701,7," Critique and analyse different project management methodologies  and their components  Analyse common reasons for failures in IT Projects  Apply metrics to analyse project profitability   "
WinTec,INFO702,7," Investigate OS, application, website and network threats and vulnerabilities  Investigate and implement OS, application, website and network security and testing techniques  Research tools and methods used in the IT industry related to  cyber-attacks or cyber-security   "
WinTec,INFO703,7," Examine application architectures for big data and analytics  Examine and apply data modeling approaches for data mining techniques  Design a solution and extract business value from big data  Demonstrate an understanding of commonly used industry tools   "
WinTec,INFO704,7," Examine and discuss the differences between relational databases and data warehouses concepts  Design and create a data warehouse using the latest technologies to support querying, reporting and analysis tools to support critical business questions  Examine and apply OLAP and multidimensional databases to improve performance  Obtain practical knowledge of Industry based recent tools for data warehouse and business intelligence   "
WinTec,INFO705,7," Analyse client operations to design and develop a database solution  Perform database architectural tasks to support the database solution  Provide training and supporting documentation  Troubleshoot and resolve user problems  "
WinTec,INFO706,7," Discuss, analyse and rationalise the use of front-end applications  Explore and understand different methods for data reporting, retrieval and display  Design front-end applications  Implement front-end applications   "
WinTec,INFO707,7," Investigate and analyse cloud characteristics and service levels for database systems  Apply administration tasks to setup and configure a cloud server database  Perform administration tasks to manage cloud server database services to support database application development   "
WinTec,INFO708,7," Examine human visual systems and cognitive perception to gain a better understanding of their role in data visualisation  Examine and apply data visualisation principles and techniques  Evaluate and select appropriate visualisation techniques for producing a data visualisation for a given context   Construct and evaluate interactive visualisations based on a given context and data set  "
WinTec,MATH602,6," Discuss, examine and apply common recurrence functions and asymptotic functions to analyse common algorithms  Solve algorithmic puzzles with average complexity  Discuss and apply combinatorics, probability and statistics to analyze algorithms and programs  Apply common problems of graph theory used in computer programs   "
WinTec,COMP713,7," Evaluate,design and present a web solution specific to requirements Implement a web solution to requirements    "
WinTec,INFO712,7," Evaluate, design and present a database architectural solution specific to requirements  Implement a database solution to requirements   "
WinTec,DFNZ701,7,"Co-create to solve industry driven problems in teams made up of diverse disciplines  Apply professional communication strategies and actively engage others in your product, process or idea to  communicate ideas successfully   Apply human centred design and  apply a broad range of problem solving tools to innovate and solve an industry driven problem   Apply efficacy, can-do approach, self-motivation and accountability in both independent and collective situations  Acquire and apply future-focused employment skills to industry and educational contexts   Use empathy to research, investigate and produce reasoned and critical responses    "
Unitec,ISCG5400,5,"Describe a wide selection of hardware components and explain their functions, including          selection issues and managing peripherals.  Identify and configure a selection of information technology hardware  resources.  Demonstrate and describe preventative maintenance of information technology  hardware.  Explain the current and emerging trends in information technology  hardware."
Unitec,ISCG5401,5,"Demonstrate  knowledge  of  operating  system  concepts  and  structures,  and  processes  and   inter-process communications  Demonstrate knowledge of memory management, I/O management, file systems, and user management and security.  Use system commands and programs to monitor and manage processes and system resources  Use system commands and programs to manage files, users, and access controls"
Unitec,ISCG5403,5,"Discuss basic Data communications, Network Concepts and network topologies.   Discuss different types of transmission media and identify issues relating to them.   Discuss Network Protocols and standards   Discuss Networking components   Discuss advance principles of Data Communications   Explain current and emerging trends in Data Communications."
Unitec,ISCG5420,5,"Design small computer programs as solutions to simple problems    Implement the designs by writing well-structured programs that follow enforced programming language conventions and programming standards.   Test, debug and document small computer programs."
Unitec,ISCG5421,5,"Implement the designs by writing well-structured programs that follow enforced           programming language conventions and programming standards.  Identify the fundamental data requirements of an intermediate-level program.  Apply the logic structures of the language.  Select and use intermediate-level data structures  Write a complete program whilst adhering to available coding standards."
Unitec,ISCG5423,5,"Describe different types of data, system data objects, and operations on data.  Create database designs to solve given business problems.  Implement database designs to solve given business problems in a database using an SQL software package.    Create SQL queries to solve given business problems.  Explain the meaning of the terms used in a database management environment."
Unitec,ISCG5424,5,"Explain the fundamentals of systems theory  Explain the Systems Development Lifecycle  and system requirements  Analyse business situations requiring problem solving  Elicit system requirements using a variety of techniques  Model the requirements using a variety of techniques."
Unitec,ISCG5430,5,"Participate effectively in a variety of conversations, to make meaning, hear alternative perspectives and relay information both as an individual and as a contributing member of an Information Technology team across technical, gender, age and cultural boundaries.    Define a problem, determine, create, seek and retrieve the required information from a variety of sources and utilise this information to effect a solution using information technology to support the outcome.    Translate information needs into an information search strategy that is adaptable to the wide variety of information sources available. Communicate effectively by exploring the integration of contemporary audio-visual communication tools and software applications with written and spoken communication to prepare presentations and technical documentation that achieve both technical accuracy and user friendliness.  Develop a strategy for evaluating personal efficacy, as well as that of the team, in achieving a goal."
Unitec,ISCG6402,6,"Demonstrate an understanding of local area network components and design.    Demonstrate a working knowledge of the available facilities and the setup of peer-to- peer networks.    Demonstrate a working knowledge of the available facilities and the setup of client/server networks.  Demonstrate a working knowledge of the available facilities and the setup of virtual environment."
Unitec,ISCG6403,6,"Compare, compile and install kernels   Compare, compile and/or install kernel modules and device drivers   Integrate, manage and query the kernel modules   Create and use intermediate level shell scripts   Compare different methods of automation and implement the most appropriate   Integrate and implement network and related services   Differentiate between entries in the system log files and use the appropriate ones to troubleshoot and manage the network   Estimate security measures and implement appropriate countermeasures."
Unitec,ISCG6404,6,"Plan and organise Web site infrastructure for Intranet and Internet  Install and configure an Internet server  Demonstrate use of software tools for developing a Web site  Install and configure a Web browser  Install and configure a proxy server  Install and configure a mail server  Describe the copyright and privacy issues associated with the Internet  Identify and discuss Internet security issues."
Unitec,ISCG6407,6,"Analyse and describe the principles of information in the context of cyber security threats and attacks, covering basic information security concepts   Investigate techniques used by hackers to penetrate systems and launch attacks   Differentiate and integrate legal, privacy and ethical aspects in the context of cyber security to develop a security policy   Review basic security issues related to wired, wireless and mobile networks covering authentication, message encryption and key management   Analyse different mitigation mechanisms and prevention to determine and evaluate possible security solutions."
Unitec,ISCG6411,6," Apply project planning principles.    demonstrate the use of project management tools and techniques.    create project management documentation.    apply monitoring and control techniques."
Unitec,ISCG6414,6,"Explain the concepts of the Systems Life Cycle and Systems Development Life Cycle. Identify and evaluate the methods used in the Systems Development Life Cycle   Apply process, data and object modelling techniques and tools   Solve a business systems problem by choosing a method and applying the analysis and design techniques."
Unitec,ISCG6420,6,"Explain and apply the fundamentals of CSS (Cascading Style Sheets).   Explain and apply the fundamentals of JavaScript.   Use current client-side website development languages/technologies create a complex commercial or educational website.   Use the features of Web/Multimedia authoring packages to create a complex commercial or educational website with effective navigational interface."
Unitec,ISCG6421,6,"Demonstrate competency in the use of a GUI programming language and environment.  Demonstrate the use of a GUI language for the creation of an effective database front   end  Demonstrate the testing, debugging and documentation of GUI programs.  Analyse the way in which a GUI model affects the development effort, the programme          structure and the interaction with the user."
Unitec,ISCG6422,6,"Critically analyse commercially available multimedia products and their suitability for meeting the needs of the proposed target audience.   Design and develop appropriate programming solutions for complex multimedia problems that require the use of the advanced features of multimedia tools.   Design and develop appropriate programming solutions for complex multimedia problems that require the use of the embedded programming language of multimedia tools.   Create a high level design, using best practice from Human-Computer Interaction (HCI), given a problem specification and specific target audience."
Unitec,ISCG6423,6,"Demonstrate an understanding of database management systems.  Produce a conceptual data model for a given set of requirements.   Develop a logical database design for a given set of requirements and for a given                 conceptual design.   Develop a physical database design from a given logical design.   Write and test procedures for a database application that meet business requirements."
Unitec,ISCG6424,6,"Explain the fundamental principles of good forms design (GUI and text based).   Develop user interface strategies.   Explain the principles of prototyping.   Design input and output screens and reports.   Develop on-line help, on-screen documentation and on-line tutorials."
Unitec,ISCG6425,6,"Demonstrate knowledge of data warehouse architecture, schema, and data modelling  Demonstrate knowledge of ETL, data integration and data quality  Demonstrate understanding of decision making process  Demonstrate knowledge and usage of OLAP, data cubes  Implementing  SQL in data warehouse environment  Use data warehousing tools for implementing data warehouses"
Unitec,ISCG6426,6,"Apply object oriented design and implementation techniques.  Interpret the trade-offs and issues involved in the design, implementation, and application of various data structures with respect to a given problem  Explain the purpose and answer questions about data structures and design patterns that illustrate strengths and weaknesses with respect to resource consumption  Assess the impact of data structures on algorithms  Analyse the scalability of data structures and algorithms in terms of both space and time complexity"
Unitec,ISCG6435,6,"As determined"
Unitec,ISCG6441,6,"Critically analyse game design problems utilizing the terminology of gaming.   Critique traditional and contemporary games from a non-technical perspective.   Produce a coherent game design document and associated prototype."
Unitec,ISCG6442,6,"Utilise a collection of physics and mathematical concepts for a game.  Develop a simple text-based game.  Develop a sprite-based game using widely accepted techniques, including physics, mathematics and programming concepts."
Unitec,ISCG6488,6,"Negotiated by student and the course developer"
Unitec,ISCG7142,7,"Identify the purpose, types and evolution of information systems   Prepare a feasibility report for a business solution   Perform system analysis using modelling tools and Agile user stories"
Unitec,ISCG7400,7,"Critically analyse and describe elements of Computer System Security.   Critically analyse and describe a selection of hardware and physical layer security solutions.   Research and analyse network security issues and solutions from the LAN and WAN (Internet) perspectives.   Critically evaluate platform specific operating systems and application security issues and solutions.   Analyse a given case study with a view to determining and evaluating possible security solutions"
Unitec,ISCG7401,7,"Analyse and describe a selection of the latest LAN and WAN technologies widely used and protocols.   Learn the latest technologies in wireless communications.   Learn about  Internet addressing  (how messages get to destination)   Describe network security, Internet network, and network management.  5  Critically evaluate alternative approaches using different network and data communication technologies and techniques in distributed data environments.  6  Demonstrate skills in gathering information, assessing, planning and implementing efficient data communication techniques."
