HUT Course,Level,Similairy,Found an NMIT Course,NMIT Course,Level
  M0080013 Algorithm Design and Analysis,7,0.5487580895423889,NMIT,COM502,5
 M0080011 Software Engineering,7,0.465670645,NMIT,COM502,5
C0080008 Introductory Internship,6,0.8135799169540405,NMIT,COM502,5
 C0080012 22.Algorithm Design and Analysis Course Design,7,0.5662826299667358,NMIT,COM502,5
 C0080009 Production Internship,7,0.8770003318786621,NMIT,COM502,5
 B0080006 Computer Operating Systems,7,0.5467046499252319,NMIT,CSA502,5
B00800006 Computer Networks,7,0.652870774,NMIT,CSA502,5
B0080010 Computer Organization and Design,7,0.941043496,NMIT,CSA502,5
M0080007 Assembly Language Programming,7,0.6564440727233887,NMIT,CSA502,5
 M0080015 Mobile Application Development,7,0.47345468401908875,NMIT,CSA502,5
M0080014 Microcomputer Principles and Interface Technology,7,0.6039447784423828,NMIT,CSA502,5
Database Principles Course Design,6,0.5923407077789307,NMIT,CSA502,5
 C0080001 Computer Networks Course Design,7,0.41309264302253723,NMIT,CSA502,5
 C0080001 Javaweb Programming Course Design,7,0.6123909950256348,NMIT,CSA502,5
 C0080009 Computer Architecture Course Design,7,0.6073454022407532,NMIT,CSA502,5
B0080018 Database Principles,6,0.6166590452194214,NMIT,DAT502,5
 B0080006 Computer Operating Systems,7,0.7101663947105408,NMIT,DAT502,5
B00800006 Computer Networks,7,0.4814295172691345,NMIT,DAT502,5
B0080010 Computer Organization and Design,7,0.7097290754318237,NMIT,DAT502,5
M0080007 Assembly Language Programming,7,0.49593988060951233,NMIT,DAT502,5
M008004 Python Programming,7,0.43719181418418884,NMIT,DAT502,5
M0080014 Microcomputer Principles and Interface Technology,7,0.5488294363021851,NMIT,DAT502,5
 C008007 Procedural Programming (C Language) Course Design,5,0.5034611821174622,NMIT,DAT502,5
C0080010 Data Structures Course Design,5,0.4362344741821289,NMIT,DAT502,5
Database Principles Course Design,6,0.7112475037574768,NMIT,DAT502,5
 C0080012 22.Algorithm Design and Analysis Course Design,7,0.5176317691802979,NMIT,DAT502,5
 C0080009 Computer Architecture Course Design,7,0.49013587832450867,NMIT,DAT502,5
B0080018 Database Principles,6,0.43356966972351074,NMIT,DAT601,6
B0080003 Java Programming,6,0.41829967498779297,NMIT,DAT601,6
